174854,-14,1.0
174855,-9 ,1.0
174856,-8 ,1.0
174857,-9 ,1.0
174858,-10,1.0
174859,-10,1.0
174900,-10,1.0
174901,-16,1.0
174902,-7 ,1.0
174903,-6 ,1.0
174904,-16,1.0
174905,-7 ,1.0
174906,-7 ,1.0
174907,-9 ,1.0
174908,-14,1.0
174909,-9 ,1.0
174911,-6 ,1.0
174912,-7 ,1.0
174913,-7 ,1.0
174914,-8 ,1.0
174915,-8 ,1.0
174916,-8 ,1.0
174917,-8 ,1.0
174918,-11,1.0
174919,-10,1.0
174920,-12,1.0
174921,-7 ,1.0
174922,-14,1.0
174923,-8 ,1.0
174924,-7 ,1.0
174925,-10,1.0
174926,-10,1.0
174927,-11,1.0
174928,-8 ,1.0
174929,-16,1.0
174930,-10,1.0
174931,-15,1.0
174932,-10,1.0
174933,-14,1.0
174934,-10,1.0
174935,-15,1.0
174936,-10,1.0
174937,-10,1.0
174938,-10,1.0
174939,-10,1.0
174940,-9 ,1.0
174941,-11,1.0
174942,-12,1.0
174943,-10,1.0
174944,-9 ,1.0
174945,-10,1.0
174946,-12,1.0
174947,-11,1.0
174948,-7 ,1.0
174949,-14,1.0
174950,-11,1.0
174951,-7 ,1.0
174952,-10,1.0
174953,-7 ,1.0
174954,-8 ,1.0
174955,-12,1.0
174956,-14,1.0
174957,-9 ,1.0
174958,-13,1.0
174959,-13,1.0
175000,-8 ,1.0
175001,-11,1.0
175002,-8 ,1.0
175003,-15,1.0
175004,-7 ,1.0
175005,-8 ,1.0
175006,-9 ,1.0
175007,-8 ,1.0
175009,-8 ,1.0
175010,-7 ,1.0
175011,-9 ,1.0
175012,-8 ,1.0
175013,-9 ,1.0
175014,-11,1.0
175015,-8 ,1.0
175016,-8 ,1.0
175017,-7 ,1.0
175018,-7 ,1.0
175019,-6 ,1.0
175020,-7 ,1.0
175021,-7 ,1.0
175022,-15,1.0
175023,-11,1.0
175024,-11,1.0
175025,-11,1.0
175026,-10,1.0
175027,-9 ,1.0
175028,-6 ,1.0
175029,-9 ,1.0
175030,-8 ,1.0
175031,-10,1.0
175032,-16,1.0
175033,-14,1.0
175034,-9 ,1.0
175035,-9 ,1.0
175036,-10,1.0
175037,-9 ,1.0
175038,-11,1.0
175039,-16,1.0
175040,-15,1.0
175041,-15,1.0
175042,-10,1.0
175043,-16,1.0
175044,-8 ,1.0
175045,-10,1.0
175046,-10,1.0
175047,-15,1.0
175048,-8 ,1.0
175049,-10,1.0
175050,-10,1.0
175051,-8 ,1.0
175052,-6 ,1.0
