3.704,,,60748,2747806,95,0
1.852,,,72823,5119280,1560,0
7.408,,,72823,5119280,30,0
12.964,,,51431,1586426,142,0
18.52,,,73091,3396697,20,0
24.076,,,87401,4188156,133,0
29.632,,,146545,6982538,181,0
35.188,,,146545,6982538,152,0
40.744,,,92886,4256533,155,0
46.3,,,92886,4256533,106,0
51.856,,,49990,2161698,205,0
68.524,,,73456,3292448,239,0
85.192,,,13521,203334,80,0
107.416,,,59572,2719863,-1,0
140.752,,,25332,1069271,-1,0
142.604,,,25332,1069271,-1,0
148.16,,,25332,1069271,-1,0
157.42,,,11955,418508,-1,0
161.124,,,11955,418508,-1,0
164.828,,,11955,418508,-1,0
168.532,,,11955,418508,-1,0
168.532,,,11955,418508,-1,0
168.532,,,11955,418508,-1,0
168.532,,,11955,418508,-1,0
170.384,,,11955,418508,-1,0
187.052,,,5643,124683,-1,0
220.388,,,54034,2207611,1141,0
235.204,,,48273,2002004,142,0
268.54,,,51818,2142372,897,0
307.432,,,72007,3136982,863,0
331.508,,,18321,746819,806,0
350.028,,,11278,423087,1157,0
438.924,,,17062,597031,697,0
463.0,,,45375,1835344,423,0
468.556,,,45375,1835344,334,0
477.816,,,45375,1835344,201,0
483.372,,,35062,1443854,381,0
507.448,,,25860,924059,586,0
518.56,,,25860,924059,695,0
524.116,,,25860,924059,744,0
544.488,,,6119,161273,624,0
548.192,,,6119,161273,-1,0
551.896,,,4782,105504,697,0
559.304,,,4782,105504,-1,0
561.156,,,4782,105504,-1,0
561.156,,,4782,105504,-1,0
564.86,,,4782,105504,-1,0
570.416,,,4782,105504,-1,0
575.972,,,4782,105504,-1,0
575.972,,,4782,105504,-1,0
579.676,,,4782,105504,-1,0
581.528,,,4782,105504,-1,0
587.084,,,4782,105504,-1,0
588.936,,,4782,105504,-1,0
590.788,,,4782,105504,-1,0
596.344,,,4782,105504,-1,0
600.048,,,4782,105504,-1,0
587.084,,,4782,105504,-1,0
572.268,,,4782,105504,-1,0
557.452,,,4782,105504,-1,0
542.636,,,4782,105504,-1,0
527.82,,,4782,105504,-1,0
514.856,,,4782,105504,-1,0
485.224,,,4782,105504,-1,0
470.408,,,4782,105504,-1,0
459.296,,,4782,105504,-1,0
444.48,,,4782,105504,-1,0
431.516,,,4782,105504,-1,0
416.7,,,4782,105504,-1,0
400.032,,,4782,105504,-1,0
387.068,,,4782,105504,-1,0
375.956,,,4782,105504,-1,0
362.992,,,4782,105504,-1,0
350.028,,,4782,105504,-1,0
335.212,,,4782,105504,-1,0
322.248,,,4782,105504,-1,0
309.284,,,4782,105504,-1,0
296.32,,,4782,105504,-1,0
283.356,,,4782,105504,-1,0
270.392,,,4782,105504,-1,0
255.576,,,4782,105504,-1,0
240.76,,,4782,105504,-1,0
227.796,,,4782,105504,-1,0
216.684,,,4782,105504,-1,0
205.572,,,4782,105504,-1,0
194.46,,,1418,6449,60,0
192.608,,,1418,6449,-1,0
185.2,,,1418,6449,-1,0
172.236,,,1418,6449,-1,0
161.124,,,1418,6449,-1,0
151.864,,,1418,6449,-1,0
140.752,,,1418,6449,-1,0
129.64,,,1418,6449,-1,0
122.232,,,1230,936,61,0
111.12,,,1814,2278,12,0
101.86,,,1814,2278,-1,0
92.6,,,1456,1528,45,0
81.488,,,1655,2231,10,0
70.376,,,1655,2231,220,0
38.892,,,1745,2417,6,0
31.484,,,1165,2036,73,0
20.372,,,1897,2429,94,0
12.964,,,1763,2232,6,0
5.556,,,1685,2171,42,0
1.852,,,1830,2354,74,0
