*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 19:45:14 192.168.87.152,1707,2242,80,0
2017-07-15 19:45:24 192.168.87.151,2835,762,0,0
2017-07-15 19:45:24 192.168.87.152,1720,2359,72,0
2017-07-15 19:45:34 192.168.87.151,2834,763,0,0
2017-07-15 19:45:34 192.168.87.152,1336,2077,95,0
2017-07-15 19:45:44 192.168.87.151,2834,763,0,0
2017-07-15 19:45:44 192.168.87.152,1336,2077,20,0
2017-07-15 19:45:54 192.168.87.151,2834,763,0,0
2017-07-15 19:45:54 192.168.87.152,1790,2417,59,0
2017-07-15 19:46:04 192.168.87.151,2703,759,0,0
2017-07-15 19:46:04 192.168.87.152,1759,2317,80,0
2017-07-15 19:46:14 192.168.87.151,2909,848,0,0
2017-07-15 19:46:14 192.168.87.152,1346,2111,92,0
2017-07-15 19:46:24 192.168.87.151,2497,660,0,0
2017-07-15 19:46:24 192.168.87.152,1799,2409,132,0
2017-07-15 19:46:34 192.168.87.151,2786,762,0,0
2017-07-15 19:46:34 192.168.87.152,1681,2332,56,0
