*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 20:21:56 192.168.87.152,1693,2360,9,0
2017-07-15 20:22:06 192.168.87.151,2866,763,0,0
2017-07-15 20:22:06 192.168.87.152,1338,2134,22,0
2017-07-15 20:22:16 192.168.87.151,2532,710,0,0
2017-07-15 20:22:16 192.168.87.152,1719,2317,6,0
2017-07-15 20:22:26 192.168.87.151,2532,710,0,0
2017-07-15 20:22:26 192.168.87.152,1719,2317,10,0
2017-07-15 20:22:36 192.168.87.151,2798,711,0,0
2017-07-15 20:22:37 192.168.87.152,1737,2333,203,0
2017-07-15 20:22:46 192.168.87.151,2908,847,0,0
2017-07-15 20:22:46 192.168.87.152,1376,2142,12,0
2017-07-15 20:22:56 192.168.87.151,2497,670,0,0
2017-07-15 20:22:56 192.168.87.152,2266,2422,4,0
2017-07-15 20:23:06 192.168.87.151,3336,1272,0,0
2017-07-15 20:23:07 192.168.87.152,1721,2372,78,0
2017-07-15 20:23:16 192.168.87.151,2723,712,0,0
2017-07-15 20:23:17 192.168.87.152,1624,2197,926,0
