18:22:14,192.168.87.151,2695,1079,0,0
18:22:24,192.168.87.151,2400,858,0,0
18:22:34,192.168.87.151,2512,1203,0,0
18:22:44,192.168.87.151,2935,1076,0,0
18:22:54,192.168.87.151,2480,944,0,0
18:23:04,192.168.87.151,2789,1079,0,0
18:23:14,192.168.87.151,2646,988,0,0
18:23:24,192.168.87.151,2690,1162,0,0
18:23:34,192.168.87.151,2544,1115,0,0
18:23:44,192.168.87.151,2729,1105,0,0
20:50:57,192.168.87.151,2585,1176,0,0
20:51:07,192.168.87.151,1668,730,0,0
20:51:17,192.168.87.151,684,561,0,0
20:51:27,192.168.87.151,1528,919,0,0
20:51:37,192.168.87.151,1767,875,0,0
20:51:47,192.168.87.151,1329,912,0,0
20:51:57,192.168.87.151,1960,843,0,0
20:52:07,192.168.87.151,1922,877,0,0
20:53:12,192.168.87.151,2892,1212,0,0
20:53:22,192.168.87.151,2465,1399,0,0
20:53:32,192.168.87.151,1193,645,0,0
20:53:42,192.168.87.151,1694,1255,0,0
20:53:52,192.168.87.151,1694,1255,0,0
20:54:02,192.168.87.151,1150,911,0,0
20:54:12,192.168.87.151,1150,911,0,0
20:54:22,192.168.87.151,1150,911,0,0
20:54:32,192.168.87.151,1922,896,0,0
20:54:42,192.168.87.151,3543,1690,0,0
20:54:52,192.168.87.151,3543,1690,0,0
20:55:02,192.168.87.151,3506,2383,0,0
20:55:12,192.168.87.151,2126,1288,0,0
20:55:22,192.168.87.151,2606,1244,0,0
20:55:32,192.168.87.151,3170,1219,0,0
20:55:42,192.168.87.151,3170,1219,0,0
20:55:52,192.168.87.151,2598,990,0,0
20:56:02,192.168.87.151,2762,1061,0,0
20:56:12,192.168.87.151,2297,877,0,0
20:56:22,192.168.87.151,2711,1223,0,0
20:56:32,192.168.87.151,3148,1111,0,0
20:56:42,192.168.87.151,3148,1111,0,0
20:56:52,192.168.87.151,2357,878,0,0
20:57:02,192.168.87.151,3054,1242,0,0
20:57:12,192.168.87.151,1419,872,0,0
20:57:22,192.168.87.151,2140,952,0,0
20:57:32,192.168.87.151,166,473,0,0
20:57:44,192.168.87.151,166,473,-1,0
20:57:54,192.168.87.151,166,473,-1,0
20:58:04,192.168.87.151,166,473,-1,0
20:58:14,192.168.87.151,166,473,-1,0
20:58:24,192.168.87.151,166,473,-1,0
20:58:34,192.168.87.151,166,473,-1,0
20:58:42,192.168.87.151,166,473,-1,0
20:58:52,192.168.87.151,166,473,-1,0
20:59:02,192.168.87.151,166,473,-1,0
20:59:12,192.168.87.151,8883,9546,0,0
20:59:22,192.168.87.151,5125,4682,0,0
20:59:32,192.168.87.151,1096,873,0,0
21:02:36,192.168.87.151,1423,1097,-1,0
21:02:46,192.168.87.151,1423,1097,0,0
21:02:56,192.168.87.151,481,448,0,0
21:03:05,192.168.87.151,3903,3341,0,0
21:03:15,192.168.87.151,12158,9007,0,0
21:03:25,192.168.87.151,12158,9007,0,0
21:03:35,192.168.87.151,559,510,0,0
21:03:45,192.168.87.151,1129,1982,0,0
21:03:55,192.168.87.151,1102,940,0,0
21:04:05,192.168.87.151,882,871,0,0
21:05:58,192.168.87.151,2142,1129,0,0
21:06:08,192.168.87.151,1025,1072,0,0
21:06:18,192.168.87.151,1300,634,0,0
21:06:28,192.168.87.151,840,1385,0,0
21:06:38,192.168.87.151,240,3207,0,0
21:06:48,192.168.87.151,1255,1316,0,0
21:07:24,192.168.87.151,546,867,0,0
21:07:34,192.168.87.151,688,689,0,0
21:07:44,192.168.87.151,717,2363,0,0
21:07:54,192.168.87.151,596,1583,0,0
21:08:04,192.168.87.151,1222,1763,0,0
21:08:14,192.168.87.151,2166,2177,0,0
21:08:24,192.168.87.151,876,2659,0,0
21:08:34,192.168.87.151,698,1714,0,0
21:08:44,192.168.87.151,2037,2886,0,0
21:08:54,192.168.87.151,1711,2075,0,0
21:09:23,192.168.87.151,0,1506,0,0
21:09:33,192.168.87.151,0,437,0,0
21:09:43,192.168.87.151,0,437,0,0
21:12:21,192.168.87.151,0,371,-1,0
21:12:31,192.168.87.151,0,371,-1,0
21:12:41,192.168.87.151,0,371,-1,0
21:12:51,192.168.87.151,0,371,-1,0
