*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 20:00:55 192.168.87.151,2775,809,0,0
2017-07-15 20:00:55 192.168.87.152,1329,2042,97,0
2017-07-15 20:01:05 192.168.87.151,2395,574,0,0
2017-07-15 20:01:05 192.168.87.152,1680,2454,15,0
2017-07-15 20:01:15 192.168.87.151,2908,847,0,0
2017-07-15 20:01:15 192.168.87.152,1682,2300,45,0
2017-07-15 20:01:25 192.168.87.151,2866,806,0,0
2017-07-15 20:01:25 192.168.87.152,1335,2183,82,0
2017-07-15 20:01:35 192.168.87.151,2866,806,0,0
2017-07-15 20:01:36 192.168.87.152,1715,2351,1634,0
2017-07-15 20:01:45 192.168.87.151,2686,779,0,0
2017-07-15 20:01:45 192.168.87.152,1756,2427,33,0
2017-07-15 20:01:55 192.168.87.151,2869,808,0,0
2017-07-15 20:01:55 192.168.87.152,1423,2211,63,0
2017-07-15 20:02:05 192.168.87.151,2458,659,0,0
2017-07-15 20:02:05 192.168.87.152,1511,2044,1,0
2017-07-15 20:02:15 192.168.87.151,2840,808,0,0
2017-07-15 20:02:15 192.168.87.152,1994,2665,50,0
2017-07-15 20:02:25 192.168.87.151,2840,808,0,0
2017-07-15 20:02:25 192.168.87.152,1318,2088,3,0
2017-07-15 20:02:35 192.168.87.151,2840,808,0,0
2017-07-15 20:02:37 192.168.87.152,1318,2088,-1,0
2017-07-15 20:02:45 192.168.87.151,2558,685,0,0
2017-07-15 20:02:45 192.168.87.152,1318,2088,9,0
2017-07-15 20:02:55 192.168.87.151,2558,685,0,0
2017-07-15 20:02:55 192.168.87.152,1318,2088,12,0
2017-07-15 20:03:05 192.168.87.151,1192,524,0,0
2017-07-15 20:03:05 192.168.87.152,1264,1230,4,0
2017-07-15 20:03:15 192.168.87.151,2409,658,0,0
2017-07-15 20:03:15 192.168.87.152,1614,2310,9,0
2017-07-15 20:03:25 192.168.87.151,2878,806,0,0
2017-07-15 20:03:25 192.168.87.152,1660,2349,9,0
2017-07-15 20:03:35 192.168.87.151,2678,710,0,0
2017-07-15 20:03:35 192.168.87.152,1185,2010,4,0
2017-07-15 20:03:45 192.168.87.151,2312,659,0,0
2017-07-15 20:03:45 192.168.87.152,1508,2383,3,0
2017-07-15 20:03:55 192.168.87.151,2737,754,0,0
2017-07-15 20:03:55 192.168.87.152,1691,2280,583,0
2017-07-15 20:04:05 192.168.87.151,2848,815,0,0
2017-07-15 20:04:05 192.168.87.152,1232,1988,3,0
2017-07-15 20:04:15 192.168.87.151,2401,702,0,0
2017-07-15 20:04:15 192.168.87.152,1805,2613,72,0
2017-07-15 20:04:25 192.168.87.151,2401,702,0,0
2017-07-15 20:04:25 192.168.87.152,1805,2613,88,0
2017-07-15 20:04:35 192.168.87.151,2868,764,0,0
2017-07-15 20:04:35 192.168.87.152,1754,2391,6,0
2017-07-15 20:04:45 192.168.87.151,2878,847,0,0
2017-07-15 20:04:45 192.168.87.152,1335,2047,32,0
2017-07-15 20:04:55 192.168.87.151,2605,755,0,0
2017-07-15 20:04:55 192.168.87.152,1745,2378,64,0
2017-07-15 20:05:05 192.168.87.151,2760,712,0,0
2017-07-15 20:05:05 192.168.87.152,1784,2363,88,0
2017-07-15 20:05:15 192.168.87.151,2897,815,0,0
2017-07-15 20:05:15 192.168.87.152,1380,2143,182,0
2017-07-15 20:05:25 192.168.87.151,2480,703,0,0
2017-07-15 20:05:25 192.168.87.152,1785,2397,40,0
2017-07-15 20:05:35 192.168.87.151,2781,764,0,0
2017-07-15 20:05:35 192.168.87.152,1518,2239,76,0
2017-07-15 20:05:45 192.168.87.151,2710,808,0,0
2017-07-15 20:05:46 192.168.87.152,1277,2197,429,0
2017-07-15 20:05:55 192.168.87.151,2483,795,0,0
2017-07-15 20:05:55 192.168.87.152,1599,2214,22,0
2017-07-15 20:06:05 192.168.87.151,2859,764,0,0
2017-07-15 20:06:05 192.168.87.152,1845,2394,47,0
2017-07-15 20:06:15 192.168.87.151,2859,764,0,0
2017-07-15 20:06:15 192.168.87.152,1845,2394,73,0
2017-07-15 20:06:25 192.168.87.151,2978,891,0,0
2017-07-15 20:06:25 192.168.87.152,1352,2097,6,0
2017-07-15 20:06:35 192.168.87.151,2420,575,0,0
2017-07-15 20:06:36 192.168.87.152,1872,2507,1391,0
2017-07-15 20:06:45 192.168.87.151,2878,931,0,0
2017-07-15 20:06:46 192.168.87.152,1737,2321,755,0
2017-07-15 20:06:55 192.168.87.151,2794,756,0,0
2017-07-15 20:06:55 192.168.87.152,1306,2148,2,0
2017-07-15 20:07:05 192.168.87.151,2543,711,0,0
2017-07-15 20:07:05 192.168.87.152,1706,2351,44,0
2017-07-15 20:07:15 192.168.87.151,2926,762,0,0
2017-07-15 20:07:16 192.168.87.152,1772,2347,199,0
2017-07-15 20:07:25 192.168.87.151,3215,1195,0,0
2017-07-15 20:07:25 192.168.87.152,1451,2277,72,0
2017-07-15 20:07:35 192.168.87.151,2352,659,0,0
2017-07-15 20:07:35 192.168.87.152,1651,2222,101,0
2017-07-15 20:07:45 192.168.87.151,2816,807,0,0
2017-07-15 20:07:45 192.168.87.152,1736,2427,4,0
2017-07-15 20:07:55 192.168.87.151,2640,763,0,0
2017-07-15 20:07:57 192.168.87.152,1736,2427,-1,0
2017-07-15 20:08:05 192.168.87.151,2640,763,0,0
2017-07-15 20:08:05 192.168.87.152,1736,2427,192,0
2017-07-15 20:08:15 192.168.87.151,956,389,0,0
2017-07-15 20:08:15 192.168.87.152,1338,1547,16,0
2017-07-15 20:08:25 192.168.87.151,3340,997,0,0
2017-07-15 20:08:25 192.168.87.152,2335,2666,44,0
2017-07-15 20:08:35 192.168.87.151,2748,710,0,0
2017-07-15 20:08:35 192.168.87.152,1445,2244,61,0
2017-07-15 20:08:45 192.168.87.151,2504,711,0,0
2017-07-15 20:08:45 192.168.87.152,1681,2298,6,0
2017-07-15 20:08:55 192.168.87.151,2879,807,0,0
2017-07-15 20:08:55 192.168.87.152,1681,2298,116,0
2017-07-15 20:09:05 192.168.87.151,1339,470,0,0
2017-07-15 20:09:05 192.168.87.152,1406,1457,243,0
