*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 20:25:54 192.168.87.151,2830,724,0,0
2017-07-15 20:25:54 192.168.87.152,1814,2412,86,0
2017-07-15 20:26:04 192.168.87.151,2878,794,0,0
2017-07-15 20:26:04 192.168.87.152,1302,1985,225,0
2017-07-15 20:26:14 192.168.87.151,2319,736,0,0
2017-07-15 20:26:14 192.168.87.152,1654,2396,35,0
2017-07-15 20:26:24 192.168.87.151,2852,805,0,0
2017-07-15 20:26:24 192.168.87.152,1672,2344,56,0
2017-07-15 20:26:34 192.168.87.151,2840,764,0,0
2017-07-15 20:26:34 192.168.87.152,1380,2144,85,0
2017-07-15 20:26:44 192.168.87.151,2464,659,0,0
2017-07-15 20:26:44 192.168.87.152,1380,2144,215,0
2017-07-15 20:26:54 192.168.87.151,1391,514,0,0
2017-07-15 20:26:54 192.168.87.152,1534,1590,48,0
2017-07-15 20:27:04 192.168.87.151,2667,710,0,0
2017-07-15 20:27:04 192.168.87.152,1248,2043,75,0
2017-07-15 20:27:14 192.168.87.151,2471,659,0,0
2017-07-15 20:27:14 192.168.87.152,1684,2305,202,0
2017-07-15 20:27:24 192.168.87.151,2857,857,0,0
2017-07-15 20:27:24 192.168.87.152,1776,2333,5,0
2017-07-15 20:27:34 192.168.87.151,2857,857,0,0
2017-07-15 20:27:34 192.168.87.152,1776,2333,63,0
2017-07-15 20:27:44 192.168.87.151,3023,893,0,0
2017-07-15 20:27:44 192.168.87.152,1359,2197,88,0
2017-07-15 20:27:54 192.168.87.151,3023,893,0,0
2017-07-15 20:27:54 192.168.87.152,1821,2433,231,0
2017-07-15 20:28:04 192.168.87.151,2666,710,0,0
2017-07-15 20:28:04 192.168.87.152,1705,2289,7,0
2017-07-15 20:28:14 192.168.87.151,2682,764,0,0
2017-07-15 20:28:14 192.168.87.152,1458,2205,86,0
2017-07-15 20:28:24 192.168.87.151,2500,701,0,0
2017-07-15 20:28:24 192.168.87.152,1358,2186,307,0
2017-07-15 20:28:34 192.168.87.151,2632,711,0,0
2017-07-15 20:28:34 192.168.87.152,1697,2290,27,0
2017-07-15 20:28:44 192.168.87.151,2849,763,0,0
2017-07-15 20:28:44 192.168.87.152,1269,2077,54,0
2017-07-15 20:28:54 192.168.87.151,2584,702,0,0
2017-07-15 20:28:54 192.168.87.152,1813,2410,184,0
2017-07-15 20:29:04 192.168.87.151,2826,762,0,0
2017-07-15 20:29:04 192.168.87.152,1662,2249,24,0
2017-07-15 20:29:14 192.168.87.151,2805,816,0,0
2017-07-15 20:29:14 192.168.87.152,1461,2136,3,0
2017-07-15 20:29:24 192.168.87.151,2805,816,0,0
2017-07-15 20:29:24 192.168.87.152,1461,2136,68,0
2017-07-15 20:29:34 192.168.87.151,2498,658,0,0
2017-07-15 20:29:34 192.168.87.152,1461,2136,88,0
2017-07-15 20:29:44 192.168.87.151,1465,546,0,0
2017-07-15 20:29:44 192.168.87.152,1607,1677,5,0
2017-07-15 20:29:54 192.168.87.151,2837,763,0,0
2017-07-15 20:29:54 192.168.87.152,1279,2093,3,0
2017-07-15 20:30:04 192.168.87.151,2463,658,0,0
2017-07-15 20:30:04 192.168.87.152,1693,2234,70,0
2017-07-15 20:30:14 192.168.87.151,2857,859,0,0
2017-07-15 20:30:14 192.168.87.152,1765,2421,116,0
2017-07-15 20:30:24 192.168.87.151,2866,762,0,0
2017-07-15 20:30:24 192.168.87.152,1417,2095,24,0
2017-07-15 20:30:34 192.168.87.151,2467,658,0,0
2017-07-15 20:30:34 192.168.87.152,1775,2397,54,0
2017-07-15 20:30:44 192.168.87.151,2930,808,0,0
2017-07-15 20:30:44 192.168.87.152,1784,2362,96,0
2017-07-15 20:30:54 192.168.87.151,2805,762,0,0
2017-07-15 20:30:54 192.168.87.152,1328,2123,120,0
2017-07-15 20:31:04 192.168.87.151,2464,659,0,0
2017-07-15 20:31:04 192.168.87.152,1692,2263,46,0
2017-07-15 20:31:14 192.168.87.151,2464,659,0,0
2017-07-15 20:31:14 192.168.87.152,1692,2263,60,0
2017-07-15 20:31:24 192.168.87.151,2898,860,0,0
2017-07-15 20:31:24 192.168.87.152,1751,2442,88,0
2017-07-15 20:31:34 192.168.87.151,2908,848,0,0
2017-07-15 20:31:34 192.168.87.152,1366,2094,211,0
2017-07-15 20:31:44 192.168.87.151,2458,658,0,0
2017-07-15 20:31:44 192.168.87.152,1366,2094,34,0
2017-07-15 20:31:54 192.168.87.151,1476,514,0,0
2017-07-15 20:31:54 192.168.87.152,1629,1612,67,0
2017-07-15 20:32:04 192.168.87.151,2693,711,0,0
2017-07-15 20:32:04 192.168.87.152,1358,2139,94,0
2017-07-15 20:32:14 192.168.87.151,2622,710,0,0
2017-07-15 20:32:15 192.168.87.152,1688,2294,626,0
2017-07-15 20:32:24 192.168.87.151,2856,841,0,0
2017-07-15 20:32:24 192.168.87.152,1728,2502,44,0
2017-07-15 20:32:34 192.168.87.151,2952,861,0,0
2017-07-15 20:32:34 192.168.87.152,1421,2131,72,0
2017-07-15 20:32:44 192.168.87.151,2268,658,0,0
2017-07-15 20:32:44 192.168.87.152,1421,2131,3,0
2017-07-15 20:32:54 192.168.87.151,1299,470,0,0
2017-07-15 20:32:54 192.168.87.152,1421,2131,34,0
2017-07-15 20:33:04 192.168.87.151,1299,470,0,0
2017-07-15 20:33:04 192.168.87.152,1492,1590,58,0
2017-07-15 20:33:14 192.168.87.151,2890,891,0,0
2017-07-15 20:33:14 192.168.87.152,1357,2184,13,0
2017-07-15 20:33:24 192.168.87.151,2403,627,0,0
2017-07-15 20:33:24 192.168.87.152,1652,2334,10,0
2017-07-15 20:33:34 192.168.87.151,2835,797,0,0
2017-07-15 20:33:34 192.168.87.152,1715,2357,22,0
2017-07-15 20:33:44 192.168.87.151,2898,807,0,0
2017-07-15 20:33:44 192.168.87.152,1520,2353,6,0
2017-07-15 20:33:54 192.168.87.151,2383,606,0,0
2017-07-15 20:33:54 192.168.87.152,1640,2258,4,0
2017-07-15 20:34:04 192.168.87.151,2699,764,0,0
2017-07-15 20:34:05 192.168.87.152,1625,2224,299,0
2017-07-15 20:34:14 192.168.87.151,2827,806,0,0
2017-07-15 20:34:14 192.168.87.152,1265,2086,10,0
2017-07-15 20:34:24 192.168.87.151,2533,711,0,0
2017-07-15 20:34:24 192.168.87.152,1741,2338,3,0
2017-07-15 20:34:34 192.168.87.151,2907,764,0,0
