
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 19:05:10 192.168.87.152,1782,2368,813,0
2017-07-15 19:05:19 192.168.87.151,2778,763,0,0
2017-07-15 19:05:19 192.168.87.152,1471,2318,9,0
2017-07-15 19:05:29 192.168.87.151,2745,806,0,0
2017-07-15 19:05:29 192.168.87.152,1299,2186,3,0
2017-07-15 19:05:39 192.168.87.151,2745,806,0,0
2017-07-15 19:05:39 192.168.87.152,1299,2186,5,0
2017-07-15 19:05:49 192.168.87.151,2390,712,0,0
2017-07-15 19:05:49 192.168.87.152,1656,2241,2,0
2017-07-15 19:05:59 192.168.87.151,2920,847,0,0
2017-07-15 19:05:59 192.168.87.152,1656,2241,6,0
2017-07-15 19:06:09 192.168.87.151,1032,313,0,0
2017-07-15 19:06:09 192.168.87.152,1392,1545,2,0
2017-07-15 19:06:19 192.168.87.151,2557,703,0,0
2017-07-15 19:06:19 192.168.87.152,1620,2279,2,0
2017-07-15 19:06:29 192.168.87.151,2775,763,0,0
2017-07-15 19:06:29 192.168.87.152,1722,2313,6,0
2017-07-15 19:06:39 192.168.87.151,2855,762,0,0
2017-07-15 19:06:39 192.168.87.152,1237,2038,11,0
2017-07-15 19:06:49 192.168.87.151,2477,711,0,0
2017-07-15 19:06:49 192.168.87.152,1845,2453,12,0
2017-07-15 19:06:59 192.168.87.151,2926,806,0,0
2017-07-15 19:06:59 192.168.87.152,1700,2283,3,0
2017-07-15 19:07:09 192.168.87.151,2777,764,0,0
2017-07-15 19:07:09 192.168.87.152,1462,2210,10,0
