22.224,81445,3684996,623,0
42.596,53630,2387326,564,0
48.152,68942,3128576,180,0
83.34,38299,1631177,384,0
112.972,70868,3093220,938,0
157.42,64696,2783535,114,0
194.46,54894,2302767,885,0
220.388,9852,246949,823,0
231.5,27336,938782,1370,0
250.02,27336,938782,230,0
251.872,27336,938782,783,0
264.836,3849,92283,998,0
359.288,28209,1088942,862,0
390.772,50545,1869736,654,0
442.628,42684,1691034,1293,0
550.044,36601,1564596,831,0
585.232,31355,1124604,472,0
605.604,32518,1304517,498,0
731.54,25049,979865,187,0
750.06,38546,1523705,291,0
768.58,30718,954531,259,0
785.248,28018,1038669,349,0
803.768,26454,924187,283,0
842.66,27177,1080631,181,0
863.032,21551,714113,115,0
872.292,23430,775378,258,0
881.552,16590,616024,173,0
890.812,15550,538192,150,0
900.072,19692,774283,505,0
909.332,11893,348283,88,0
920.444,11893,348283,186,0
942.668,10796,370697,249,0
950.076,10796,370697,187,0
961.188,18997,694216,119,0
966.744,26840,798578,178,0
977.856,21453,851955,236,0
988.968,16860,813927,703,0
996.376,26462,762869,81,0
1005.636,27789,1026897,251,0
1014.896,21981,882019,344,0
1033.416,21285,681780,78,0
1042.676,30722,1258996,108,0
1051.936,23105,836411,292,0
1063.048,19425,699588,-1,0
1066.752,19425,699588,263,0
1066.752,19425,699588,45,0
1072.308,19425,699588,-1,0
