9.260000,2694957
14.816000,2102310
12.964000,2102310
22.224000,1526491
40.744000,1257085
51.856000,1257085
55.560000,519017
61.116000,58968
62.968000,58968
70.376000,162701
72.228000,162701
74.080000,3440
83.340000,99429
185.200000,93192
231.500000,107644
242.612000,2435
259.280000,38901
288.912000,217527
294.468000,217527
307.432000,217527
368.548000,738159
383.364000,1079420
416.700000,1297030
422.256000,1297030
455.592000,1172799
461.148000,601613
490.780000,1243122
518.560000,381440
525.968000,778273
551.896000,251264
559.304000,81399
568.564000,81399
572.268000,81399
575.972000,210931
579.676000,210931
590.788000,133493
592.640000,69083
596.344000,69083
601.900000,712803
609.308000,712803
613.012000,712803
620.420000,712803
624.124000,712803
627.828000,332359
637.088000,43392
638.940000,43392
648.200000,43392
650.052000,43392
659.312000,257827
664.868000,229589
674.128000,358299
675.980000,358299
683.388000,833451
687.092000,833451
692.648000,554992
698.204000,746583
718.576000,639145
727.836000,548252
737.096000,548252
742.652000,548252
750.060000,452945
757.468000,955979
763.024000,830394
781.544000,830394
803.768000,318342
811.176000,223108
820.436000,380858
827.844000,380858
837.104000,2295
848.216000,544059
851.920000,84526
855.624000,84526
864.884000,84526
881.552000,231850
890.812000,262632
898.220000,262632
903.776000,262632
909.332000,262632
916.740000,72373
914.888000,163562
920.444000,6983
922.296000,6983
929.704000,209532
933.408000,157179
942.668000,157179
