12.964,24708,945470,180,0
22.224,17474,701758,142,0
27.78,41183,1762663,698,0
35.188,40679,1708657,138,0
51.856,40894,1780497,-1,0
59.264,40894,1780497,-1,0
62.968,40894,1780497,-1,0
64.82,40894,1780497,-1,0
68.524,12421,525255,-1,0
72.228,10650,383261,220,0
79.636,10650,383261,-1,0
79.636,19424,737953,217,0
87.044,19424,737953,292,0
100.008,31661,1270261,99,0
101.86,31661,1270261,150,0
109.268,31661,1270261,-1,0
109.268,18753,720822,102,0
114.824,18055,763498,178,0
125.936,13996,465938,98,0
131.492,13996,465938,62,0
142.604,21777,892546,543,0
155.568,21777,892546,257,0
166.68,34304,1400315,158,0
181.496,33001,1339518,-1,0
190.756,33001,1339518,363,0
200.016,33001,1339518,-1,0
201.868,11773,416207,87,0
209.276,13071,427949,222,0
218.536,13071,427949,-1,0
222.24,13071,427949,386,0
231.5,13071,427949,-1,0
238.908,6680,206333,-1,0
238.908,6680,206333,-1,0
240.76,2715,63594,22,0
237.056,2715,63594,-1,0
237.056,2715,63594,-1,0
240.76,2715,63594,-1,0
244.464,2715,63594,-1,0
244.464,2715,63594,-1,0
244.464,2715,63594,-1,0
242.612,2715,63594,-1,0
244.464,2715,63594,-1,0
244.464,2715,63594,-1,0
244.464,2715,63594,-1,0
246.316,2715,63594,-1,0
248.168,3507,91044,95,0
253.724,3507,91044,-1,0
261.132,8410,167210,-1,0
259.28,8410,167210,-1,0
259.28,8410,167210,-1,0
259.28,1070,2956,-1,0
266.688,1070,2956,-1,0
290.764,14676,448124,-1,0
292.616,12349,466016,33,0
329.656,24970,1015047,1092,0
357.436,12625,346939,1816,0
362.992,13389,491934,1085,0
374.104,10006,347988,1695,0
381.512,10006,347988,1087,0
387.068,10006,347988,1029,0
405.588,4609,132413,1604,0
409.292,4609,132413,1407,0
422.256,9855,345471,958,0
442.628,8269,281616,1371,0
444.48,8269,281616,1196,0
450.036,13599,575463,933,0
457.444,13599,575463,1640,0
490.78,9423,360639,556,0
496.336,9423,360639,1155,0
535.228,3482,42165,662,0
585.232,2672,58666,391,0
601.9,2672,58666,930,0
605.604,10155,369730,803,0
629.68,10155,369730,299,0
638.94,4496,97616,512,0
646.348,4496,97616,410,0
690.796,3632,68838,854,0
701.908,3632,68838,437,0
709.316,3632,68838,728,0
714.872,3632,68838,720,0
750.06,3334,82887,968,0
761.172,3334,82887,1122,0
768.58,3622,4074,1288,0
774.136,3622,4074,652,0
779.692,3622,4074,797,0
800.064,5233,152144,284,0
807.472,5233,152144,782,0
835.252,4112,66767,762,0
853.772,4249,117190,428,0
859.328,4249,117190,1057,0
874.144,7084,209133,591,0
894.516,7084,209133,786,0
