*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-20 18:00:55 192.168.87.151,6439249,116244,0,0
2017-07-20 18:00:56 192.168.87.152,97704,7456971,855,0
2017-07-20 18:01:05 192.168.87.151,5431421,101273,0,0
2017-07-20 18:01:07 192.168.87.152,89256,8136948,1297,0
2017-07-20 18:01:15 192.168.87.151,5431421,101273,0,0
2017-07-20 18:01:17 192.168.87.152,89256,8136948,-1,0
2017-07-20 18:01:25 192.168.87.151,5329999,89469,0,0
2017-07-20 18:01:27 192.168.87.152,89256,8136948,-1,0
2017-07-20 18:01:35 192.168.87.151,3950070,75662,0,0
2017-07-20 18:01:36 192.168.87.152,89256,8136948,798,0
2017-07-20 18:01:45 192.168.87.151,3874710,69112,0,0
2017-07-20 18:01:47 192.168.87.152,89256,8136948,-1,0
2017-07-20 18:01:55 192.168.87.151,1344156,35138,0,0
2017-07-20 18:01:57 192.168.87.152,61992,3851807,-1,0
2017-07-20 18:02:05 192.168.87.151,2712318,58877,0,0
2017-07-20 18:02:06 192.168.87.152,34519,2011771,359,0
2017-07-20 18:02:15 192.168.87.151,6862440,116342,0,0
2017-07-20 18:02:16 192.168.87.152,34519,2011771,326,0
2017-07-20 18:02:25 192.168.87.151,2955306,53589,0,0
2017-07-20 18:02:27 192.168.87.152,87242,6596629,-1,0
2017-07-20 18:02:35 192.168.87.151,2955306,53589,0,0
2017-07-20 18:02:37 192.168.87.152,87242,6596629,1662,0
2017-07-20 18:02:45 192.168.87.151,1833983,38741,0,0
2017-07-20 18:02:47 192.168.87.152,87242,6596629,-1,0
2017-07-20 18:02:55 192.168.87.151,790011,14482,0,0
2017-07-20 18:02:57 192.168.87.152,87242,6596629,-1,0
2017-07-20 18:03:05 192.168.87.151,5506,1209,0,0
2017-07-20 18:03:07 192.168.87.152,87242,6596629,-1,0
2017-07-20 18:03:15 192.168.87.151,0,409,0,0
2017-07-20 18:03:17 192.168.87.152,87242,6596629,-1,0
2017-07-20 18:03:25 192.168.87.151,0,438,0,0
