190754,192.168.87.152,121048,6037088,1025,0
190803,192.168.87.152,62082,2992374,80,0
190813,192.168.87.152,72113,3519255,107,0
190823,192.168.87.152,74771,3339089,158,0
190833,192.168.87.152,85891,4247305,340,0
190845,192.168.87.152,65757,2963658,1276,0
190853,192.168.87.152,78136,3780474,164,0
190903,192.168.87.152,78136,3780474,304,0
190913,192.168.87.152,86614,4049562,214,0
190925,192.168.87.152,86614,4049562,-1,0
190933,192.168.87.152,86614,4049562,123,0
190943,192.168.87.152,86614,4049562,180,0
190954,192.168.87.152,86614,4049562,911,0
191003,192.168.87.152,86614,4049562,168,0
191015,192.168.87.152,41096,1837356,-1,0
191025,192.168.87.152,41096,1837356,-1,0
191033,192.168.87.152,41096,1837356,615,0
191043,192.168.87.152,27651,1277660,118,0
191054,192.168.87.152,27651,1277660,1529,0
191103,192.168.87.152,44437,1960264,427,0
191113,192.168.87.152,44437,1960264,494,0
191123,192.168.87.152,44671,1949079,569,0
191133,192.168.87.152,33217,1419670,156,0
191143,192.168.87.152,56734,2698050,103,0
191153,192.168.87.152,70239,3284330,226,0
191204,192.168.87.152,70239,3284330,1371,0
191213,192.168.87.152,70239,3284330,178,0
191225,192.168.87.152,25947,1103069,745,0
191233,192.168.87.152,25947,1103069,128,0
191243,192.168.87.152,25947,1103069,206,0
191255,192.168.87.152,25947,1103069,1106,0
191303,192.168.87.152,25947,1103069,132,0
191313,192.168.87.152,28731,1182663,115,0
191323,192.168.87.152,42839,1257596,303,0
191333,192.168.87.152,42839,1257596,223,0
191343,192.168.87.152,42839,1257596,185,0
191353,192.168.87.152,21171,754436,49,0
191403,192.168.87.152,35970,1321575,37,0
191413,192.168.87.152,34308,1318378,99,0
191424,192.168.87.152,34308,1318378,1120,0
191433,192.168.87.152,34308,1318378,243,0
191443,192.168.87.152,34308,1318378,138,0
191454,192.168.87.152,23099,886216,1003,0
191504,192.168.87.152,12995,292762,1144,0
191514,192.168.87.152,12995,292762,855,0
191523,192.168.87.152,12995,292762,116,0
191535,192.168.87.152,12995,292762,-1,0
191545,192.168.87.152,12995,292762,-1,0
191555,192.168.87.152,12995,292762,-1,0
191603,192.168.87.152,12995,292762,212,0
191614,192.168.87.152,12995,292762,258,0
191623,192.168.87.152,12995,292762,114,0
191634,192.168.87.152,5666,111121,1235,0
191644,192.168.87.152,5666,111121,684,0
191655,192.168.87.152,5666,111121,-1,0
191705,192.168.87.152,5666,111121,-1,0
